Kingdom	Phylum	Class	Order	Family	Genus
ASV_167	NA	NA	NA	NA	NA	NA
ASV_168	Bacteria	Firmicutes	Clostridia	Oscillospirales	NA	NA
ASV_169	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ASV_170	Eukaryota	NA	NA	NA	NA	NA
ASV_171	Eukaryota	NA	NA	NA	NA	NA
ASV_172	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis
ASV_173	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	UCG-009
ASV_174	Eukaryota	NA	NA	NA	NA	NA
ASV_175	Bacteria	Firmicutes	Clostridia	Oscillospirales	NA	NA
ASV_176	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_R-7_group
ASV_177	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
ASV_178	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ASV_179	Eukaryota	NA	NA	NA	NA	NA
ASV_180	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV_181	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA
ASV_182	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA
ASV_183	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA
ASV_184	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	NA	NA
ASV_185	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV_186	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia
ASV_187	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia
ASV_188	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus
